Table,Column/Variable Name,Column Type,Description 1,Description 2,Description 3,Description 4,Description 5
T8,T8_moe17,MOE,Margin of error for estimate T8_est17,,,,
T8,T8_moe18,MOE,Margin of error for estimate T8_est18,,,,
T8,T8_moe19,MOE,Margin of error for estimate T8_est19,,,,
T8,T8_moe20,MOE,Margin of error for estimate T8_est20,,,,
T8,T8_moe21,MOE,Margin of error for estimate T8_est21,,,,
T8,T8_moe22,MOE,Margin of error for estimate T8_est22,,,,
T8,T8_moe23,MOE,Margin of error for estimate T8_est23,,,,
T8,T8_moe24,MOE,Margin of error for estimate T8_est24,,,,
T8,T8_moe25,MOE,Margin of error for estimate T8_est25,,,,
T8,T8_moe26,MOE,Margin of error for estimate T8_est26,,,,
T8,T8_moe27,MOE,Margin of error for estimate T8_est27,,,,
T8,T8_moe28,MOE,Margin of error for estimate T8_est28,,,,
T8,T8_moe29,MOE,Margin of error for estimate T8_est29,,,,
T8,T8_moe30,MOE,Margin of error for estimate T8_est30,,,,
T8,T8_moe31,MOE,Margin of error for estimate T8_est31,,,,
T8,T8_moe32,MOE,Margin of error for estimate T8_est32,,,,
T8,T8_moe33,MOE,Margin of error for estimate T8_est33,,,,
T8,T8_moe34,MOE,Margin of error for estimate T8_est34,,,,
T8,T8_moe35,MOE,Margin of error for estimate T8_est35,,,,
T8,T8_moe36,MOE,Margin of error for estimate T8_est36,,,,
T8,T8_moe37,MOE,Margin of error for estimate T8_est37,,,,
T8,T8_moe38,MOE,Margin of error for estimate T8_est38,,,,
T8,T8_moe39,MOE,Margin of error for estimate T8_est39,,,,
T8,T8_moe40,MOE,Margin of error for estimate T8_est40,,,,
T8,T8_moe41,MOE,Margin of error for estimate T8_est41,,,,
T8,T8_moe42,MOE,Margin of error for estimate T8_est42,,,,
T8,T8_moe43,MOE,Margin of error for estimate T8_est43,,,,
T8,T8_moe44,MOE,Margin of error for estimate T8_est44,,,,
T8,T8_moe45,MOE,Margin of error for estimate T8_est45,,,,
T8,T8_moe46,MOE,Margin of error for estimate T8_est46,,,,
T8,T8_moe47,MOE,Margin of error for estimate T8_est47,,,,
T8,T8_moe48,MOE,Margin of error for estimate T8_est48,,,,
T8,T8_moe49,MOE,Margin of error for estimate T8_est49,,,,
T8,T8_moe50,MOE,Margin of error for estimate T8_est50,,,,
T8,T8_moe51,MOE,Margin of error for estimate T8_est51,,,,
T8,T8_moe52,MOE,Margin of error for estimate T8_est52,,,,
T8,T8_moe53,MOE,Margin of error for estimate T8_est53,,,,
T8,T8_moe54,MOE,Margin of error for estimate T8_est54,,,,
T8,T8_moe55,MOE,Margin of error for estimate T8_est55,,,,
T8,T8_moe56,MOE,Margin of error for estimate T8_est56,,,,
T8,T8_moe57,MOE,Margin of error for estimate T8_est57,,,,
T8,T8_moe58,MOE,Margin of error for estimate T8_est58,,,,
T8,T8_moe59,MOE,Margin of error for estimate T8_est59,,,,
T8,T8_moe60,MOE,Margin of error for estimate T8_est60,,,,
T8,T8_moe61,MOE,Margin of error for estimate T8_est61,,,,
T8,T8_moe62,MOE,Margin of error for estimate T8_est62,,,,
T8,T8_moe63,MOE,Margin of error for estimate T8_est63,,,,
T8,T8_moe64,MOE,Margin of error for estimate T8_est64,,,,
T8,T8_moe65,MOE,Margin of error for estimate T8_est65,,,,
T8,T8_moe66,MOE,Margin of error for estimate T8_est66,,,,
T8,T8_moe67,MOE,Margin of error for estimate T8_est67,,,,
T8,T8_moe68,MOE,Margin of error for estimate T8_est68,,,,
T8,T8_moe69,MOE,Margin of error for estimate T8_est69,,,,
T8,T8_moe70,MOE,Margin of error for estimate T8_est70,,,,
T8,T8_moe71,MOE,Margin of error for estimate T8_est71,,,,
T8,T8_moe72,MOE,Margin of error for estimate T8_est72,,,,
T8,T8_moe73,MOE,Margin of error for estimate T8_est73,,,,
T8,T8_moe74,MOE,Margin of error for estimate T8_est74,,,,
T8,T8_moe75,MOE,Margin of error for estimate T8_est75,,,,
T8,T8_moe76,MOE,Margin of error for estimate T8_est76,,,,
T8,T8_moe77,MOE,Margin of error for estimate T8_est77,,,,
T8,T8_moe78,MOE,Margin of error for estimate T8_est78,,,,
T8,T8_moe79,MOE,Margin of error for estimate T8_est79,,,,
T8,T8_moe80,MOE,Margin of error for estimate T8_est80,,,,
T8,T8_moe81,MOE,Margin of error for estimate T8_est81,,,,
T8,T8_moe82,MOE,Margin of error for estimate T8_est82,,,,
T8,T8_moe83,MOE,Margin of error for estimate T8_est83,,,,
T8,T8_moe84,MOE,Margin of error for estimate T8_est84,,,,
T8,T8_moe85,MOE,Margin of error for estimate T8_est85,,,,
T8,T8_moe86,MOE,Margin of error for estimate T8_est86,,,,
T8,T8_moe87,MOE,Margin of error for estimate T8_est87,,,,
T8,T8_moe88,MOE,Margin of error for estimate T8_est88,,,,
T8,T8_moe89,MOE,Margin of error for estimate T8_est89,,,,
T8,T8_moe90,MOE,Margin of error for estimate T8_est90,,,,
T8,T8_moe91,MOE,Margin of error for estimate T8_est91,,,,
T8,T8_moe92,MOE,Margin of error for estimate T8_est92,,,,
T8,T8_moe93,MOE,Margin of error for estimate T8_est93,,,,
T8,T8_moe94,MOE,Margin of error for estimate T8_est94,,,,
T8,T8_moe95,MOE,Margin of error for estimate T8_est95,,,,
T8,T8_moe96,MOE,Margin of error for estimate T8_est96,,,,
T8,T8_moe97,MOE,Margin of error for estimate T8_est97,,,,
T8,T8_moe98,MOE,Margin of error for estimate T8_est98,,,,
T8,T8_moe99,MOE,Margin of error for estimate T8_est99,,,,
T8,T8_moe100,MOE,Margin of error for estimate T8_est100,,,,
T8,T8_moe101,MOE,Margin of error for estimate T8_est101,,,,
T8,T8_moe102,MOE,Margin of error for estimate T8_est102,,,,
T8,T8_moe103,MOE,Margin of error for estimate T8_est103,,,,
T8,T8_moe104,MOE,Margin of error for estimate T8_est104,,,,
T8,T8_moe105,MOE,Margin of error for estimate T8_est105,,,,
T8,T8_moe106,MOE,Margin of error for estimate T8_est106,,,,
T8,T8_moe107,MOE,Margin of error for estimate T8_est107,,,,
T8,T8_moe108,MOE,Margin of error for estimate T8_est108,,,,
T8,T8_moe109,MOE,Margin of error for estimate T8_est109,,,,
T8,T8_moe110,MOE,Margin of error for estimate T8_est110,,,,
T8,T8_moe111,MOE,Margin of error for estimate T8_est111,,,,
T8,T8_moe112,MOE,Margin of error for estimate T8_est112,,,,
T8,T8_moe113,MOE,Margin of error for estimate T8_est113,,,,
T8,T8_moe114,MOE,Margin of error for estimate T8_est114,,,,
T8,T8_moe115,MOE,Margin of error for estimate T8_est115,,,,
T8,T8_moe116,MOE,Margin of error for estimate T8_est116,,,,
T8,T8_moe117,MOE,Margin of error for estimate T8_est117,,,,
T8,T8_moe118,MOE,Margin of error for estimate T8_est118,,,,
T8,T8_moe119,MOE,Margin of error for estimate T8_est119,,,,
T8,T8_moe120,MOE,Margin of error for estimate T8_est120,,,,
T8,T8_moe121,MOE,Margin of error for estimate T8_est121,,,,
T8,T8_moe122,MOE,Margin of error for estimate T8_est122,,,,
T8,T8_moe123,MOE,Margin of error for estimate T8_est123,,,,
T8,T8_moe124,MOE,Margin of error for estimate T8_est124,,,,
T8,T8_moe125,MOE,Margin of error for estimate T8_est125,,,,
T8,T8_moe126,MOE,Margin of error for estimate T8_est126,,,,
T8,T8_moe127,MOE,Margin of error for estimate T8_est127,,,,
T8,T8_moe128,MOE,Margin of error for estimate T8_est128,,,,
T8,T8_moe129,MOE,Margin of error for estimate T8_est129,,,,
T8,T8_moe130,MOE,Margin of error for estimate T8_est130,,,,
T8,T8_moe131,MOE,Margin of error for estimate T8_est131,,,,
T8,T8_moe132,MOE,Margin of error for estimate T8_est132,,,,
T8,T8_moe133,MOE,Margin of error for estimate T8_est133,,,,
T9,T9_est1,Total,Total: Occupied housing units,,,,
T9,T9_est2,Subtotal,Owner occupied,,,,
T9,T9_est3,Subtotal,Owner occupied," AND race/ethnicity is White alone, non-Hispanic",,,
T9,T9_est4,Detail,Owner occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est5,Detail,Owner occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est6,Detail,Owner occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est7,Detail,Owner occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est8,Subtotal,Owner occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic",,,
T9,T9_est9,Detail,Owner occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est10,Detail,Owner occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est11,Detail,Owner occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est12,Detail,Owner occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est13,Subtotal,Owner occupied," AND race/ethnicity is Asian alone, non-Hispanic",,,
T9,T9_est14,Detail,Owner occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est15,Detail,Owner occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est16,Detail,Owner occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est17,Detail,Owner occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est18,Subtotal,Owner occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic",,,
T9,T9_est19,Detail,Owner occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est20,Detail,Owner occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est21,Detail,Owner occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est22,Detail,Owner occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est23,Subtotal,Owner occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic",,,
T9,T9_est24,Detail,Owner occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est25,Detail,Owner occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est26,Detail,Owner occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est27,Detail,Owner occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est28,Subtotal,Owner occupied," AND race/ethnicity is Hispanic, any race",,,
T9,T9_est29,Detail,Owner occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden is less than or equal to 30%,,
T9,T9_est30,Detail,Owner occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est31,Detail,Owner occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden is greater than 50%,,
T9,T9_est32,Detail,Owner occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden not computed (no/negative income),,
T9,T9_est33,Subtotal,Owner occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)",,,
T9,T9_est34,Detail,Owner occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden is less than or equal to 30%,,
T9,T9_est35,Detail,Owner occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est36,Detail,Owner occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden is greater than 50%,,
T9,T9_est37,Detail,Owner occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden not computed (no/negative income),,
T9,T9_est38,Subtotal,Renter occupied,,,,
T9,T9_est39,Subtotal,Renter occupied," AND race/ethnicity is White alone, non-Hispanic",,,
T9,T9_est40,Detail,Renter occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est41,Detail,Renter occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est42,Detail,Renter occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est43,Detail,Renter occupied," AND race/ethnicity is White alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est44,Subtotal,Renter occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic",,,
T9,T9_est45,Detail,Renter occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est46,Detail,Renter occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est47,Detail,Renter occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est48,Detail,Renter occupied," AND race/ethnicity is Black or African-American alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est49,Subtotal,Renter occupied," AND race/ethnicity is Asian alone, non-Hispanic",,,
T9,T9_est50,Detail,Renter occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est51,Detail,Renter occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est52,Detail,Renter occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est53,Detail,Renter occupied," AND race/ethnicity is Asian alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est54,Subtotal,Renter occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic",,,
T9,T9_est55,Detail,Renter occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est56,Detail,Renter occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est57,Detail,Renter occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est58,Detail,Renter occupied," AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est59,Subtotal,Renter occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic",,,
T9,T9_est60,Detail,Renter occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden is less than or equal to 30%,,
T9,T9_est61,Detail,Renter occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est62,Detail,Renter occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden is greater than 50%,,
T9,T9_est63,Detail,Renter occupied," AND race/ethnicity is Pacific Islander alone, non-Hispanic", AND housing cost burden not computed (no/negative income),,
T9,T9_est64,Subtotal,Renter occupied," AND race/ethnicity is Hispanic, any race",,,
T9,T9_est65,Detail,Renter occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden is less than or equal to 30%,,
T9,T9_est66,Detail,Renter occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est67,Detail,Renter occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden is greater than 50%,,
T9,T9_est68,Detail,Renter occupied," AND race/ethnicity is Hispanic, any race", AND housing cost burden not computed (no/negative income),,
T9,T9_est69,Subtotal,Renter occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)",,,
T9,T9_est70,Detail,Renter occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden is less than or equal to 30%,,
T9,T9_est71,Detail,Renter occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden is greater than 30% but less than or equal to 50%,,
T9,T9_est72,Detail,Renter occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden is greater than 50%,,
T9,T9_est73,Detail,Renter occupied," AND race/ethnicity is other (including multiple races, non-Hispanic)", AND housing cost burden not computed (no/negative income),,
T9,T9_moe1,MOE,Margin of error for estimate T9_est1,,,,
T9,T9_moe2,MOE,Margin of error for estimate T9_est2,,,,
T9,T9_moe3,MOE,Margin of error for estimate T9_est3,,,,
T9,T9_moe4,MOE,Margin of error for estimate T9_est4,,,,
T9,T9_moe5,MOE,Margin of error for estimate T9_est5,,,,
T9,T9_moe6,MOE,Margin of error for estimate T9_est6,,,,
T9,T9_moe7,MOE,Margin of error for estimate T9_est7,,,,
T9,T9_moe8,MOE,Margin of error for estimate T9_est8,,,,
T9,T9_moe9,MOE,Margin of error for estimate T9_est9,,,,
T9,T9_moe10,MOE,Margin of error for estimate T9_est10,,,,
T9,T9_moe11,MOE,Margin of error for estimate T9_est11,,,,
T9,T9_moe12,MOE,Margin of error for estimate T9_est12,,,,
T9,T9_moe13,MOE,Margin of error for estimate T9_est13,,,,
T9,T9_moe14,MOE,Margin of error for estimate T9_est14,,,,
T9,T9_moe15,MOE,Margin of error for estimate T9_est15,,,,
T9,T9_moe16,MOE,Margin of error for estimate T9_est16,,,,
T9,T9_moe17,MOE,Margin of error for estimate T9_est17,,,,
T9,T9_moe18,MOE,Margin of error for estimate T9_est18,,,,
T9,T9_moe19,MOE,Margin of error for estimate T9_est19,,,,
T9,T9_moe20,MOE,Margin of error for estimate T9_est20,,,,
T9,T9_moe21,MOE,Margin of error for estimate T9_est21,,,,
T9,T9_moe22,MOE,Margin of error for estimate T9_est22,,,,
T9,T9_moe23,MOE,Margin of error for estimate T9_est23,,,,
T9,T9_moe24,MOE,Margin of error for estimate T9_est24,,,,
T9,T9_moe25,MOE,Margin of error for estimate T9_est25,,,,
T9,T9_moe26,MOE,Margin of error for estimate T9_est26,,,,
T9,T9_moe27,MOE,Margin of error for estimate T9_est27,,,,
T9,T9_moe28,MOE,Margin of error for estimate T9_est28,,,,
T9,T9_moe29,MOE,Margin of error for estimate T9_est29,,,,
T9,T9_moe30,MOE,Margin of error for estimate T9_est30,,,,
T9,T9_moe31,MOE,Margin of error for estimate T9_est31,,,,
T9,T9_moe32,MOE,Margin of error for estimate T9_est32,,,,
T9,T9_moe33,MOE,Margin of error for estimate T9_est33,,,,
T9,T9_moe34,MOE,Margin of error for estimate T9_est34,,,,
T9,T9_moe35,MOE,Margin of error for estimate T9_est35,,,,
T9,T9_moe36,MOE,Margin of error for estimate T9_est36,,,,
T9,T9_moe37,MOE,Margin of error for estimate T9_est37,,,,
T9,T9_moe38,MOE,Margin of error for estimate T9_est38,,,,
T9,T9_moe39,MOE,Margin of error for estimate T9_est39,,,,
T9,T9_moe40,MOE,Margin of error for estimate T9_est40,,,,
T9,T9_moe41,MOE,Margin of error for estimate T9_est41,,,,
T9,T9_moe42,MOE,Margin of error for estimate T9_est42,,,,
T9,T9_moe43,MOE,Margin of error for estimate T9_est43,,,,
T9,T9_moe44,MOE,Margin of error for estimate T9_est44,,,,
T9,T9_moe45,MOE,Margin of error for estimate T9_est45,,,,
T9,T9_moe46,MOE,Margin of error for estimate T9_est46,,,,
T9,T9_moe47,MOE,Margin of error for estimate T9_est47,,,,
T9,T9_moe48,MOE,Margin of error for estimate T9_est48,,,,
T9,T9_moe49,MOE,Margin of error for estimate T9_est49,,,,
T9,T9_moe50,MOE,Margin of error for estimate T9_est50,,,,
T9,T9_moe51,MOE,Margin of error for estimate T9_est51,,,,
T9,T9_moe52,MOE,Margin of error for estimate T9_est52,,,,
T9,T9_moe53,MOE,Margin of error for estimate T9_est53,,,,
T9,T9_moe54,MOE,Margin of error for estimate T9_est54,,,,
T9,T9_moe55,MOE,Margin of error for estimate T9_est55,,,,
T9,T9_moe56,MOE,Margin of error for estimate T9_est56,,,,
T9,T9_moe57,MOE,Margin of error for estimate T9_est57,,,,
T9,T9_moe58,MOE,Margin of error for estimate T9_est58,,,,
T9,T9_moe59,MOE,Margin of error for estimate T9_est59,,,,
T9,T9_moe60,MOE,Margin of error for estimate T9_est60,,,,
T9,T9_moe61,MOE,Margin of error for estimate T9_est61,,,,
T9,T9_moe62,MOE,Margin of error for estimate T9_est62,,,,
T9,T9_moe63,MOE,Margin of error for estimate T9_est63,,,,
T9,T9_moe64,MOE,Margin of error for estimate T9_est64,,,,
T9,T9_moe65,MOE,Margin of error for estimate T9_est65,,,,
T9,T9_moe66,MOE,Margin of error for estimate T9_est66,,,,
T9,T9_moe67,MOE,Margin of error for estimate T9_est67,,,,
T9,T9_moe68,MOE,Margin of error for estimate T9_est68,,,,
T9,T9_moe69,MOE,Margin of error for estimate T9_est69,,,,
T9,T9_moe70,MOE,Margin of error for estimate T9_est70,,,,
T9,T9_moe71,MOE,Margin of error for estimate T9_est71,,,,
T9,T9_moe72,MOE,Margin of error for estimate T9_est72,,,,
T9,T9_moe73,MOE,Margin of error for estimate T9_est73,,,,
T10,T10_est1,Total,Total: Occupied housing units,,,,
T10,T10_est2,Subtotal,Owner occupied,,,,
T10,T10_est3,Subtotal,Owner occupied, AND persons per room is less than or equal to 1,,,
T10,T10_est4,Subtotal,Owner occupied, AND persons per room is less than or equal to 1, AND household income is less than or equal to 30% of HAMFI,,
T10,T10_est5,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is less than or equal to 30% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est6,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is less than or equal to 30% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est7,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is less than or equal to 30% of HAMFI, AND household type is non-family,
T10,T10_est8,Subtotal,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 30% but less than or equal to 50% of HAMFI,,
T10,T10_est9,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est10,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est11,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household type is non-family,
T10,T10_est12,Subtotal,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 50% but less than or equal to 80% of HAMFI,,
T10,T10_est13,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est14,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est15,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household type is non-family,
T10,T10_est16,Subtotal,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 80% but less than or equal to 100% of HAMFI,,
T10,T10_est17,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est18,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est19,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household type is non-family,
T10,T10_est20,Subtotal,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 100% of HAMFI,,
T10,T10_est21,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 100% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est22,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 100% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est23,Detail,Owner occupied, AND persons per room is less than or equal to 1, AND household income is greater than 100% of HAMFI, AND household type is non-family,
T10,T10_est24,Subtotal,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5,,,
T10,T10_est25,Subtotal,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is less than or equal to 30% of HAMFI,,
T10,T10_est26,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is less than or equal to 30% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est27,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is less than or equal to 30% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est28,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is less than or equal to 30% of HAMFI, AND household type is non-family,
T10,T10_est29,Subtotal,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 30% but less than or equal to 50% of HAMFI,,
T10,T10_est30,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est31,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est32,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household type is non-family,
T10,T10_est33,Subtotal,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 50% but less than or equal to 80% of HAMFI,,
T10,T10_est34,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est35,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est36,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household type is non-family,
T10,T10_est37,Subtotal,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 80% but less than or equal to 100% of HAMFI,,
T10,T10_est38,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household type is one family with no subfamilies,
T10,T10_est39,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household type is one family with at least one subfamily or more than one family,
T10,T10_est40,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household type is non-family,
T10,T10_est41,Subtotal,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 100% of HAMFI,,
T10,T10_est42,Detail,Owner occupied, AND persons per room is greater than 1 but less than or equal to 1.5, AND household income is greater than 100% of HAMFI, AND household type is one family with no subfamilies,
